agent,patch,patch_act,direction,n_changes,n_skills_changed,trigger_type,has_mechanic,value_chg_max_abs,max_skill_weight,patch_importance_score,has_identity_change,identity_nerfed,identity_buffed,has_ult_change,mobility_skill_nerfed,rank_pr_t-1,rank_wr_t-1,rank_pr_pre_avg,rank_wr_pre_avg,rank_pr_pre_slope,rank_wr_vs50_pre,rank_pre_n_acts,vct_pr_t-1,vct_pr_pre_avg,vct_pr_pre_slope,vct_absence_pre,vct_pre_n_events,rank_vct_pr_gap_pre,vct_rank_pr_ratio,agent_role,agent_subrole,role_rank_pre,role_pr_share_pre,role_rival_pr_mean_pre,role_meta_trend,subrole_rank_pre,subrole_rival_pr_mean_pre,subrole_meta_trend,n_prev_patches,prev_nerf_count,prev_buff_count,acts_since_last_patch,last_patch_direction,multi_patch_4acts,rank_pr_t+1,rank_wr_t+1,rank_verdict,vct_verdict,vct_profile,combined_verdict,verdict_label,verdict_source
Astra,11.08,V25A6,nerf,5,3,rank_stat,0,,3.0,2.0,1.0,1.0,1.0,0,0,0.794,46.77,0.832,46.87,-0.2655,-3.13,3.0,21.5,22.0,1.0,0,2.0,-21.706,28.338,controller,smoker,4.0,0.039,3.953,0.0225,4.0,6.413,0.862,3,3,0,11,nerf,0,1.278,46.53,MISS,MISS,pro_staple,DUAL_MISS,DUAL_MISS,rank
Astra,3.05,E3A2,nerf,1,0,rank_stat,0,,2.0,2.0,0.0,0.0,0.0,0,0,1.628,51.61,1.581,50.067,0.149,0.067,3.0,,,,0,,,,controller,smoker,4.0,0.084,5.936,-0.05,3.0,6.291,-1.811,0,0,0,99,none,0,3.114,49.55,MISS,NO_DATA,pro_unknown,UNKNOWN,UNKNOWN,rank
Astra,4.04,E4A2,nerf,14,3,skill_ceiling,1,2.0,3.0,2.25,1.0,1.0,0.0,0,0,5.171,49.35,4.071,49.517,1.0285,-0.483,3.0,,,,0,,,,controller,smoker,2.0,0.276,4.526,-0.3275,1.0,3.045,-0.9395,1,1,0,3,nerf,1,0.605,48.25,OVERSHOOT,NO_DATA,pro_unknown,UNKNOWN,UNKNOWN,rank
Astra,7.04,E8A1,nerf,5,2,rank_stat,0,1.0833333333333335,3.0,2.0,1.0,0.0,1.0,0,0,1.894,50.1,1.992,49.543,-0.7575,-0.457,3.0,21.5,22.0,1.0,0,2.0,-20.606,11.88,controller,smoker,4.0,0.095,4.524,-0.282,3.0,7.246,-1.0035,2,2,0,10,nerf,0,1.435,50.15,HIT,OVERSHOOT,pro_staple,MIXED,MIXED,vct
Breach,10.09,V25A3,buff,2,0,rank_stat,0,,2.0,2.0,0.0,0.0,0.0,0,0,3.655,49.34,3.019,49.137,0.7195,-0.863,3.0,25.6,27.8,4.4,0,2.0,-26.345,8.208,initiator,flash_init,2.0,0.21,2.748,-0.8145,1.0,1.547,-0.017,3,1,2,5,buff,0,2.974,48.95,MISS,HIT,pro_staple,RANK_FAIL,RANK_FAIL,vct
Breach,11.08,V25A6,nerf,7,0,rank_stat,0,0.1111111111111111,2.0,2.0,0.0,0.0,0.0,0,0,1.817,48.25,2.205,48.51,-0.5785,-1.49,3.0,25.6,27.8,4.4,0,2.0,-28.183,16.511,initiator,flash_init,4.0,0.086,3.868,1.5845,1.0,1.789,-0.5215,4,1,3,3,buff,1,1.39,47.57,HIT,OVERSHOOT,pro_staple,MIXED,MIXED,vct
Breach,5.12,E6A1,buff,2,1,rank_stat,0,0.14285714285714285,2.0,2.0,0.0,0.0,0.0,1,0,2.456,48.98,2.372,48.987,0.0955,-1.013,3.0,25.6,27.8,4.4,0,2.0,-27.544,12.215,initiator,flash_init,4.0,0.14,5.036,0.0935,2.0,3.978,0.0635,0,0,0,99,none,0,3.994,48.86,OVERSHOOT,MISS,pro_staple,MIXED,MIXED,rank
Breach,7.04,E8A1,nerf,5,1,rank_stat,0,0.3333333333333333,2.0,2.0,0.0,0.0,0.0,1,0,2.25,48.83,2.633,48.667,-0.789,-1.333,3.0,25.6,27.8,4.4,0,2.0,-27.75,13.333,initiator,flash_init,3.0,0.119,4.168,-0.601,2.0,7.076,-0.9755,1,0,1,6,buff,0,1.887,48.4,MISS,HIT,pro_staple,RANK_FAIL,RANK_FAIL,vct
Breach,8.03,E9A1,buff,1,0,rank_stat,0,,2.0,2.0,0.0,0.0,0.0,0,0,2.329,48.63,2.058,48.56,0.221,-1.44,3.0,25.6,27.8,4.4,0,2.0,-27.671,12.881,initiator,flash_init,3.0,0.117,4.399,0.589,1.0,2.188,-1.314,2,1,1,3,nerf,1,2.136,48.77,MISS,MISS,pro_staple,DUAL_MISS,DUAL_MISS,rank
Brimstone,11.08,V25A6,buff,3,0,rank_stat,0,,2.0,2.0,0.0,0.0,0.0,0,0,1.202,48.8,1.051,49.133,0.221,-0.867,3.0,20.3,17.65,-5.3,0,2.0,-13.798,12.479,controller,smoker,3.0,0.058,3.871,0.0225,3.0,6.277,0.862,5,3,2,7,buff,0,1.156,48.67,MISS,MISS,pro_staple,DUAL_MISS,DUAL_MISS,rank
